,output_raw_mill,el_cons_raw_mill,raw_mill_on,raw_mill_start,raw_mill_stop,raw_mill_shut_down,raw_mill_shut_down_change,input_kiln,output_kiln,el_cons_kiln,kiln_on,el_cons_cement_mill,cement_mill_on,cement_mill_start,cement_mill_stop,cement_mill_shut_down,cement_mill_shut_down_change,input_cement_mill,output_cement_mill,raw_meal_silo,clinker_dome,el_cons_total,slag,PFC
0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,80.74534161490682,130.0,3900.0,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.0,0.0,1650.9316770186326,5070.0,3900.0,0.0,20.0
1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,80.74534161490682,130.0,3900.0,1.0,0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,0.0,1570.1863354037257,5200.0,3900.0,0.0,500.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.74534161490682,130.0,3900.0,1.0,0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,0.0,1489.4409937888188,5330.0,3900.0,0.0,20.0
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,80.74534161490682,130.0,3900.0,1.0,0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,0.0,1408.695652173912,5460.0,3900.0,0.0,20.0
4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,80.74534161490682,130.0,3900.0,1.0,0.0,-0.0,0.0,0.0,0.0,1.0,-0.0,-0.0,1327.9503105590052,5590.0,3900.0,0.0,20.0
5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,80.74534161490682,130.0,3900.0,1.0,0.0,-0.0,0.0,0.0,0.0,1.0,-0.0,-0.0,1247.2049689440985,5720.0,3900.0,0.0,500.0
6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,80.74534161490682,130.0,3900.0,1.0,8800.0,1.0,1.0,0.0,1.0,1.0,255.8139534883721,220.0,1166.4596273291916,5594.186046511628,12700.0,0.0,20.0
7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,80.74534161490682,130.0,3900.0,1.0,8800.0,1.0,0.0,0.0,1.0,1.0,255.8139534883721,220.0,1085.7142857142849,5468.372093023251,12700.0,0.0,20.0
8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,80.74534161490682,130.0,3900.0,1.0,8800.0,1.0,0.0,0.0,1.0,1.0,255.8139534883721,220.0,1004.9689440993781,5342.558139534879,12700.0,0.0,500.0
9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,80.74534161490682,130.0,3900.0,1.0,8800.0,1.0,0.0,0.0,1.0,1.0,255.8139534883721,220.0,924.2236024841593,5216.744186046507,12700.0,0.0,20.0
10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,80.74534161490682,130.0,3900.0,1.0,8800.0,1.0,0.0,0.0,1.0,1.0,255.8139534883721,220.0,843.4782608692525,5090.930232558135,12700.0,0.0,500.0
11,0.0,0.0,0.0,0.0,0.0,0.0,1.0,80.74534161490682,130.0,3900.0,1.0,8800.0,1.0,0.0,0.0,1.0,1.0,255.8139534883721,220.0,762.7329192543457,4965.116279069763,12700.0,0.0,30.0
12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,80.74534161490682,130.0,3900.0,1.0,8800.0,1.0,0.0,0.0,1.0,1.0,255.8139534883721,220.0,681.9875776394389,4839.3023255813905,12700.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,1.0,80.74534161490682,130.0,3900.0,1.0,8800.0,1.0,0.0,0.0,1.0,1.0,255.8139534883721,220.0,601.2422360245321,4713.488372093018,12700.0,0.0,20.0
14,0.0,0.0,0.0,0.0,0.0,0.0,1.0,80.74534161490682,130.0,3900.0,1.0,8800.0,1.0,0.0,0.0,1.0,1.0,255.8139534883721,220.0,520.4968944096253,4587.674418604646,12700.0,0.0,20.0
15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,80.74534161490682,130.0,3900.0,1.0,8800.0,1.0,0.0,0.0,1.0,1.0,255.8139534883721,220.0,439.75155279471846,4461.860465116274,12700.0,0.0,500.0
16,0.0,0.0,0.0,0.0,0.0,0.0,1.0,80.74534161490682,130.0,3900.0,1.0,8800.0,1.0,0.0,0.0,1.0,1.0,255.8139534883721,220.0,359.00621117981166,4336.046511627902,12700.0,0.0,20.0
17,0.0,0.0,-0.0,-0.0,0.0,0.0,1.0,80.74534161490682,130.0,3900.0,1.0,8800.0,1.0,0.0,0.0,1.0,1.0,255.8139534883721,220.0,278.26086956490485,4210.23255813953,12700.0,0.0,20.0
18,0.0,0.0,0.0,0.0,0.0,0.0,1.0,80.74534161490682,130.0,3900.0,1.0,8800.0,1.0,0.0,0.0,1.0,1.0,255.8139534883721,220.0,197.51552794999805,4084.4186046511577,12700.0,0.0,20.0
19,0.0,0.0,0.0,0.0,0.0,0.0,1.0,80.74534161490682,130.0,3900.0,1.0,8800.0,1.0,0.0,0.0,1.0,1.0,255.8139534883721,220.0,116.77018633509124,3958.6046511627856,12700.0,0.0,20.0
20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,80.74534161490682,130.0,3900.0,1.0,8800.0,1.0,0.0,0.0,1.0,1.0,255.8139534883721,220.0,36.02484472018443,3832.7906976744134,12700.0,0.0,20.0
21,150.0,3450.0,1.0,1.0,0.0,1.0,1.0,80.74534161490682,130.0,3900.0,1.0,8800.0,1.0,0.0,0.0,1.0,1.0,255.8139534883721,220.0,105.27950310527761,3706.9767441860413,16150.0,0.0,20.0
22,150.0,3450.0,1.0,0.0,0.0,1.0,1.0,80.74534161490682,130.0,3900.0,1.0,8800.0,1.0,0.0,0.0,1.0,1.0,255.8139534883721,220.0,174.5341614903708,3581.162790697669,16150.0,0.0,30.0
23,150.0,3450.0,1.0,0.0,0.0,1.0,1.0,80.74534161490682,130.0,3900.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,243.78881987546396,3711.162790697669,16150.0,0.0,30.0
