,output_raw_mill,el_cons_raw_mill,raw_mill_on,raw_mill_start,raw_mill_stop,raw_mill_shut_down,raw_mill_shut_down_change,input_kiln,output_kiln,el_cons_kiln,kiln_on,el_cons_cement_mill,cement_mill_on,cement_mill_start,cement_mill_stop,cement_mill_shut_down,cement_mill_shut_down_change,input_cement_mill,output_cement_mill,raw_meal_silo,clinker_dome,el_cons_total,slag,PFC
0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,80.74534161490682,130.0,3900.0,1.0,8800.0,1.0,0.0,0.0,1.0,1.0,255.8139534883721,220.0,1051.8633540369547,2209.7674418604597,12700.0,0.0,20.0
1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,80.74534161490682,130.0,3900.0,1.0,8800.0,1.0,0.0,0.0,1.0,1.0,255.8139534883721,220.0,971.1180124220479,2083.9534883720876,12700.0,0.0,500.0
2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,80.74534161490682,130.0,3900.0,1.0,8800.0,1.0,0.0,0.0,1.0,1.0,255.8139534883721,220.0,890.372670807141,1958.1395348837154,12700.0,0.0,500.0
3,150.0,3450.0,1.0,1.0,0.0,1.0,1.0,80.74534161490682,130.0,3900.0,1.0,8800.0,1.0,0.0,0.0,1.0,1.0,255.8139534883721,220.0,959.6273291922342,1832.3255813953433,16150.0,0.0,500.0
4,150.0,3450.0,1.0,0.0,0.0,1.0,1.0,80.74534161490682,130.0,3900.0,1.0,8800.0,1.0,0.0,0.0,1.0,1.0,255.8139534883721,220.0,1028.8819875773274,1706.5116279069712,16150.0,0.0,500.0
5,150.0,3450.0,1.0,0.0,0.0,1.0,1.0,80.74534161490682,130.0,3900.0,1.0,8800.0,1.0,0.0,0.0,1.0,1.0,255.8139534883721,220.0,1098.1366459624205,1580.697674418599,16150.0,0.0,20.0
6,150.0,3450.0,1.0,0.0,0.0,1.0,1.0,80.74534161490682,130.0,3900.0,1.0,8800.0,1.0,0.0,0.0,1.0,1.0,255.8139534883721,220.0,1167.3913043475138,1454.883720930227,16150.0,0.0,20.0
7,150.0,3450.0,1.0,0.0,0.0,1.0,1.0,80.74534161490682,130.0,3900.0,1.0,8800.0,1.0,0.0,0.0,1.0,1.0,255.8139534883721,220.0,1236.645962732607,1329.0697674418548,16150.0,0.0,20.0
8,150.0,3450.0,1.0,0.0,0.0,1.0,1.0,80.74534161490682,130.0,3900.0,1.0,8800.0,1.0,0.0,0.0,1.0,1.0,255.8139534883721,220.0,1305.9006211177002,1203.2558139534826,16150.0,0.0,0.0
9,150.0,3450.0,1.0,0.0,0.0,1.0,1.0,80.74534161490682,130.0,3900.0,1.0,8800.0,1.0,0.0,0.0,1.0,1.0,255.8139534883721,220.0,1375.1552795027933,1077.4418604651105,16150.0,0.0,0.0
10,150.0,3450.0,1.0,0.0,0.0,1.0,1.0,80.74534161490682,130.0,3900.0,1.0,8800.0,1.0,0.0,0.0,1.0,1.0,255.8139534883721,220.0,1444.4099378878866,951.6279069767384,16150.0,0.0,0.0
11,150.0,3450.0,1.0,0.0,0.0,1.0,1.0,80.74534161490682,130.0,3900.0,1.0,8800.0,1.0,0.0,0.0,1.0,1.0,255.8139534883721,220.0,1513.6645962729797,825.8139534883669,16150.0,0.0,30.0
12,150.0,3450.0,1.0,0.0,0.0,1.0,1.0,80.74534161490682,130.0,3900.0,1.0,8800.0,1.0,0.0,0.0,1.0,1.0,255.8139534883721,220.0,1582.919254658073,699.9999999999948,16150.0,0.0,20.0
13,150.0,3450.0,1.0,0.0,0.0,1.0,1.0,80.74534161490682,130.0,3900.0,1.0,8800.0,1.0,0.0,0.0,1.0,1.0,255.8139534883721,220.0,1652.173913043166,574.1860465116227,16150.0,0.0,500.0
14,150.0,3450.0,1.0,0.0,0.0,1.0,1.0,80.74534161490682,130.0,3900.0,1.0,8800.0,1.0,0.0,0.0,1.0,1.0,255.8139534883721,220.0,1721.4285714282594,448.3720930232506,16150.0,0.0,500.0
15,150.0,3450.0,1.0,0.0,0.0,1.0,1.0,80.74534161490682,130.0,3900.0,1.0,8800.0,1.0,0.0,0.0,1.0,1.0,255.8139534883721,220.0,1790.6832298133525,322.55813953487853,16150.0,0.0,20.0
16,150.0,3450.0,1.0,0.0,0.0,1.0,1.0,80.74534161490682,130.0,3900.0,1.0,8800.0,1.0,0.0,0.0,1.0,1.0,255.8139534883721,220.0,1859.9378881984455,196.74418604650643,16150.0,0.0,30.0
17,150.0,3450.0,1.0,0.0,0.0,1.0,1.0,80.74534161490682,130.0,3900.0,1.0,8800.0,1.0,0.0,0.0,1.0,1.0,255.8139534883721,220.0,1929.1925465835386,70.93023255813432,16150.0,0.0,500.0
18,150.0,3450.0,1.0,0.0,0.0,1.0,1.0,80.74534161490682,130.0,3900.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1998.4472049686317,200.93023255813432,7350.0,0.0,0.0
