,Power
2016-01-01 00:00:00,8866.0
2016-01-01 00:15:00,8848.0
2016-01-01 00:30:00,8830.0
2016-01-01 00:45:00,8812.0
2016-01-01 01:00:00,8794.0
2016-01-01 01:15:00,8784.0
2016-01-01 01:30:00,8774.0
2016-01-01 01:45:00,8764.0
2016-01-01 02:00:00,8754.0
2016-01-01 02:15:00,8726.25
2016-01-01 02:30:00,8698.5
2016-01-01 02:45:00,8670.75
2016-01-01 03:00:00,8643.0
2016-01-01 03:15:00,8603.0
2016-01-01 03:30:00,8563.0
2016-01-01 03:45:00,8523.0
2016-01-01 04:00:00,8483.0
2016-01-01 04:15:00,8231.75
2016-01-01 04:30:00,7980.5
2016-01-01 04:45:00,7729.25
2016-01-01 05:00:00,7478.0
2016-01-01 05:15:00,7287.0
2016-01-01 05:30:00,7096.0
2016-01-01 05:45:00,6905.0
2016-01-01 06:00:00,6714.0
2016-01-01 06:15:00,6471.25
2016-01-01 06:30:00,6228.5
2016-01-01 06:45:00,5985.75
2016-01-01 07:00:00,5743.0
2016-01-01 07:15:00,5493.75
2016-01-01 07:30:00,5244.5
2016-01-01 07:45:00,4995.25
2016-01-01 08:00:00,4746.0
2016-01-01 08:15:00,4512.0
2016-01-01 08:30:00,4278.0
2016-01-01 08:45:00,4044.0
2016-01-01 09:00:00,3810.0
2016-01-01 09:15:00,3563.75
2016-01-01 09:30:00,3317.5
2016-01-01 09:45:00,3071.25
2016-01-01 10:00:00,2825.0
2016-01-01 10:15:00,2582.75
2016-01-01 10:30:00,2340.5
2016-01-01 10:45:00,2098.25
2016-01-01 11:00:00,1856.0
2016-01-01 11:15:00,1718.0
2016-01-01 11:30:00,1580.0
2016-01-01 11:45:00,1442.0
2016-01-01 12:00:00,1304.0
2016-01-01 12:15:00,1178.25
2016-01-01 12:30:00,1052.5
2016-01-01 12:45:00,926.75
2016-01-01 13:00:00,801.0
2016-01-01 13:15:00,726.75
2016-01-01 13:30:00,652.5
2016-01-01 13:45:00,578.25
2016-01-01 14:00:00,504.0
2016-01-01 14:15:00,483.0
2016-01-01 14:30:00,462.0
2016-01-01 14:45:00,441.0
2016-01-01 15:00:00,420.0
2016-01-01 15:15:00,489.75
2016-01-01 15:30:00,559.5
2016-01-01 15:45:00,629.25
2016-01-01 16:00:00,699.0
2016-01-01 16:15:00,867.25
2016-01-01 16:30:00,1035.5
2016-01-01 16:45:00,1203.75
2016-01-01 17:00:00,1372.0
2016-01-01 17:15:00,1591.75
2016-01-01 17:30:00,1811.5
2016-01-01 17:45:00,2031.25
2016-01-01 18:00:00,2251.0
2016-01-01 18:15:00,2569.25
2016-01-01 18:30:00,2887.5
2016-01-01 18:45:00,3205.75
2016-01-01 19:00:00,3524.0
2016-01-01 19:15:00,3785.75
2016-01-01 19:30:00,4047.5
2016-01-01 19:45:00,4309.25
2016-01-01 20:00:00,4571.0
2016-01-01 20:15:00,4832.5
2016-01-01 20:30:00,5094.0
2016-01-01 20:45:00,5355.5
2016-01-01 21:00:00,5617.0
2016-01-01 21:15:00,5813.25
2016-01-01 21:30:00,6009.5
2016-01-01 21:45:00,6205.75
2016-01-01 22:00:00,6402.0
2016-01-01 22:15:00,6603.75
2016-01-01 22:30:00,6805.5
2016-01-01 22:45:00,7007.25
2016-01-01 23:00:00,7209.0
2016-01-01 23:15:00,7340.5
2016-01-01 23:30:00,7472.0
2016-01-01 23:45:00,7603.5
